# Daftar No. Registrasi di Database_Approval_SPV_BQ_Testing.xlsx yang TIDAK ada di tabel pengajuan_bq (Supabase)
# Total: 440
# Format: no_registrasi | status_SPV_file | kategori_SPV_file
---
290x493x46 | Approve | Normal
MFHJA0025 | Approve | Normal
MFHJA0026 | Approve | Normal
MFHJA0027 | Approve | Normal
MFHJA0028 | Approve | Normal
MFHJA0029 | Approve | Normal
MFHJA0030 | Approve | Normal
MFHJA0031 | Approve | Normal
MFHJA0032 | Approve | Normal
MFHJA0033 | Approve | Normal
MFHJA0034 | Approve | Normal
MFHJA0035 | Approve | Normal
MFHJA0036 | Reject | Normal
MFHJA0037 | Approve | Normal
MFHJA0038 | Approve | Normal
MFHJA0039 | Approve | Normal
MFHJA0040 | Approve | Normal
MFHJA0041 | Approve | Normal
MFHJA0042 | Approve | Normal
MFHRO0001 | Approve | Normal
MFHRO0002 | Approve | Normal
MFHRO0003 | Approve | Normal
MFHRO0004 | Approve | Normal
MFHRO0005 | Approve | Normal
MFHRO0006 | Approve | Normal
MFHRO0007 | Approve | Normal
MFHRO0008 | Approve | Normal
MFHRO0009 | Approve | Normal
MFHRO0010 | Approve | Normal
MFHRO0011 | Approve | Normal
MFHRO0012 | Approve | Normal
MFHRO0013 | Approve | Normal
MFHRO0014 | Approve | Normal
MFHRO0015 | Approve | Normal
MFHRO0016 | Approve | Normal
MFHRO0017 | Approve | Normal
MFHRO0018 | Approve | Normal
MFHRO0019 | Approve | Normal
MFHRO0020 | Approve | Normal
MFHRO0021 | Approve | Normal
MFHRO0022 | Approve | Normal
MFHRO0023 | Approve | Normal
MFHRO0024 | Approve | Normal
MFHRO0025 | Approve | Normal
MFHRO0026 | Approve | Normal
MFHRO0027 | Approve | Normal
MFHRO0028 | Approve | Normal
MFHRO0029 | Approve | Normal
MFHRO0030 | Approve | Normal
MFHRO0031 | Approve | Normal
MFHRO0032 | Approve | Normal
MFHRO0033 | Approve | Normal
MFHRO0034 | Approve | Normal
MFHRO0035 | Approve | Normal
MFHRO0036 | Approve | Normal
MFHRO0037 | Approve | Normal
MFHRO0038 | Approve | Normal
MFHRO0039 | Approve | Normal
MFHRO0040 | Approve | Normal
MFHRO0041 | Approve | Normal
MFHRO0042 | Approve | Normal
MFHRO0043 | Approve | Normal
MFHRO0044 | Approve | Normal
MFHRO0045 | Approve | Normal
MFHRO0046 | Approve | Normal
MFHRO0047 | Approve | Normal
MFHRO0048 | Approve | Normal
MFHRO0049 | Approve | Normal
MFHRO0050 | Approve | Normal
MFHRO0051 | Approve | Normal
MFHRO0052 | Approve | Normal
MFHRO0053 | Approve | Normal
MFHRO0054 | Approve | Normal
MFHRO0055 | Approve | Normal
MFHRO0056 | Approve | Normal
MFHRO0057 | Approve | Normal
MFHRO0058 | Reject | Normal
MFHRO0059 | Approve | Normal
MFHRO0060 | Reject | Normal
MFHRO0061 | Approve | Normal
MFHRO0062 | Approve | Normal
MFHRO0063 | Approve | Normal
MFHRO0064 | Approve | Normal
MFHRO0065 | Approve | Normal
MFHRO0066 | Approve | Normal
MFHRO0067 | Approve | Normal
MFHRO0068 | Approve | Normal
MFHRO0069 | Approve | Normal
MFHRO0070 | Approve | Normal
MFHRO0071 | Approve | Normal
MFHRO0072 | Approve | Normal
MFHRO0073 | Approve | Normal
MFHRO0074 | Approve | Normal
MFHRO0075 | Approve | Normal
MFHRO0076 | Approve | Normal
MFHRO0077 | Approve | Normal
MFHRO0078 | Approve | Normal
MFHRO0079 | Approve | Normal
MFHRO0080 | Approve | Normal
MFHRO0081 | Approve | Normal
MFHRO0082 | Approve | Normal
MFHRO0083 | Approve | Normal
MFHRO0084 | Approve | Normal
MFHRO0085 | Approve | Normal
MFHRO0086 | Approve | Normal
MFHRO0087 | Approve | Normal
MFHRO0088 | Approve | Normal
MFHRO0089 | Approve | Normal
MFHRO0090 | Approve | Normal
MFHRO0091 | Approve | Normal
MFHRO0092 | Approve | Normal
MFHRO0093 | Approve | Normal
MFHRO0094 | Approve | Normal
MFHRO0095 | Approve | Normal
MFHRO0096 | Approve | Normal
MFHRO0097 | Approve | Normal
MFHRO0098 | Approve | Normal
MFHRO0099 | Approve | Normal
MFHRO0100 | Approve | Normal
MFHRO0101 | Approve | Normal
MFHRO0102 | Approve | Normal
MFHRO0103 | Approve | Normal
MFHRO0104 | Approve | Normal
MFHRO0105 | Approve | Normal
MFHRO0106 | Approve | Normal
MFHRO0107 | Approve | Normal
MFHRO0108 | Approve | Normal
MFHRO0109 | Approve | Normal
MFHRO0110 | Approve | Normal
MFHRO0111 | Approve | Normal
MFHRO0112 | Approve | Normal
MFHRO0113 | Approve | Normal
MFHRO0114 | Approve | Normal
MFHRO0115 | Approve | Normal
MFHRO0116 | Approve | Normal
MFHRO0117 | Approve | Normal
MFHRO0118 | Approve | Normal
MFHRO0119 | Approve | Normal
MFHRO0120 | Approve | Normal
MFHRO0121 | Approve | Normal
MFHRO0122 | Approve | Normal
MFHRO0123 | Approve | Normal
MFHRO0124 | Approve | Normal
MFHRO0125 | Approve | Normal
MFHRO0126 | Approve | Normal
MFHRO0127 | Approve | Normal
MFHRO0128 | Approve | Normal
MFHRO0129 | Approve | Normal
MFHRO0130 | Approve | Normal
MFHRO0131 | Approve | Normal
MFHRO0132 | Approve | Normal
MFHRO0133 | Approve | Normal
MFHRO0134 | Approve | Normal
MFHRO0135 | Approve | Normal
MFHRO0136 | Approve | Normal
MFHRO0137 | Approve | Normal
MFHRO0138 | Approve | Normal
MFHRO0139 | Approve | Normal
MFHRO0140 | Approve | Normal
MFHRO0141 | Approve | Normal
MFHRO0142 | Approve | Normal
MFHRO0143 | Approve | Normal
MFHRO0144 | Approve | Normal
MFHRO0145 | Approve | Normal
MFHRO0146 | Approve | Normal
MFHRO0147 | Approve | Normal
MFHRO0148 | Approve | Normal
MFHRO0149 | Approve | Normal
MFHRO0150 | Approve | Normal
MFHRO0151 | Approve | Normal
MFHRO0152 | Approve | Normal
MFHRO0153 | Approve | Normal
MFHRO0154 | Approve | Normal
MFHRO0155 | Approve | Normal
MFHRO0156 | Approve | Normal
MFHRO0157 | Approve | Normal
MFHRO0158 | Approve | Normal
MFHRO0159 | Approve | Normal
MFHRO0160 | Approve | Normal
MFHRO0161 | Approve | Normal
MFHRO0162 | Approve | Normal
MFHRO0163 | Approve | Normal
MFHRO0164 | Approve | Normal
MFHRO0165 | Approve | Normal
MFHRO0166 | Approve | Normal
MFHRO0167 | Approve | Normal
MFHRO0168 | Approve | Normal
MFHRO0169 | Approve | Normal
MFHRO0170 | Approve | Normal
MFHRO0171 | Approve | Normal
MFHRO0172 | Approve | Normal
MFHRO0173 | Approve | Normal
MFHRO0174 | Approve | Normal
MFHRO0175 | Approve | Normal
MFHRO0176 | Approve | Normal
MFHRO0177 | Approve | Normal
MFHRO0178 | Approve | Normal
MFHRO0179 | Approve | Normal
MFHRO0180 | Approve | Normal
MFHRO0181 | Approve | Normal
MFHRO0182 | Approve | Normal
MFHRO0183 | Approve | Normal
MFHRO0184 | Approve | Normal
MFHRO0185 | Approve | Normal
MFHRO0186 | Approve | Normal
MFHRO0187 | Approve | Normal
MFHRO0188 | Approve | Normal
MFHRO0189 | Approve | Normal
MFHRO0190 | Approve | Normal
MFHRO0191 | Approve | Normal
MFHRO0192 | Approve | Normal
MFHRO0193 | Approve | Normal
MFHRO0194 | Approve | Normal
MFHRO0195 | Approve | Normal
MFHRO0196 | Approve | Normal
MFHRO0197 | Approve | Normal
MFHRO0198 | Approve | Normal
MFHRO0199 | Approve | Normal
MFHRO0200 | Approve | Normal
MFHRO0201 | Approve | Normal
MFHRO0202 | Approve | Normal
MFHRO0203 | Approve | Normal
MFHRO0204 | Approve | Normal
MFHRO0205 | Approve | Normal
MFHRO0206 | Approve | Normal
MFHRO0207 | Approve | Normal
MFHRO0208 | Approve | Normal
MFHRO0209 | Approve | Normal
MFHRO0210 | Approve | Normal
MFHRO0211 | Approve | Normal
MFHRO0212 | Approve | Normal
MFHRO0213 | Approve | Normal
MFHRO0214 | Approve | Normal
MFHRO0215 | Approve | Normal
MFHRO0216 | Approve | Normal
MFHRO0217 | Approve | Normal
MFHRO0218 | Approve | Normal
MFHRO0219 | Approve | Normal
MFHRO0220 | Approve | Normal
MFHRO0221 | Approve | Normal
MFHRO0222 | Approve | Normal
MFHRO0223 | Approve | Normal
MFHRO0224 | Approve | Normal
MFHRO0225 | Approve | Normal
MFHRO0226 | Approve | Normal
MFHRO0227 | Approve | Normal
MFHRO0228 | Approve | Normal
MFHRO0229 | Approve | Normal
MFHRO0230 | Approve | Normal
MFHRO0231 | Approve | Normal
MFHRO0232 | Approve | Normal
MFHRO0233 | Approve | Normal
MFHRO0234 | Approve | Normal
MFHRO0235 | Approve | Normal
MFHRO0236 | Approve | Normal
MFHRO0237 | Approve | Normal
MFHRO0238 | Approve | Normal
MFHRO0239 | Approve | Normal
MFHRO0240 | Approve | Normal
MFHRO0241 | Approve | Normal
MFHRO0242 | Approve | Normal
MFHRO0243 | Approve | Normal
MFHRO0244 | Approve | Normal
MFHRO0245 | Approve | Normal
MFHRO0246 | Approve | Normal
MFHRO0247 | Approve | Normal
MFHRO0248 | Approve | Normal
MFHRO0249 | Approve | Normal
MFHRO0250 | Approve | Normal
MFHRO0251 | Approve | Normal
MFHRO0252 | Approve | Normal
MFHRO0253 | Approve | Normal
MFHRO0254 | Approve | Normal
MFHRO0255 | Approve | Normal
MFHRO0256 | Approve | Normal
MFHRO0257 | Approve | Normal
MFHRO0258 | Approve | Normal
MFHRO0259 | Approve | Normal
MFHRO0260 | Approve | Normal
MFHRO0261 | Approve | Normal
MFHRO0262 | Approve | Normal
MFHRO0263 | Approve | Normal
MFHRO0264 | Approve | Normal
MFHRO0265 | Approve | Normal
MFHRO0266 | Approve | Normal
MFHRO0267 | Approve | Normal
MFHRO0268 | Approve | Normal
MFHRO0269 | Approve | Normal
MFHRO0270 | Approve | Normal
MFHRO0271 | Reject | Normal
MFHRO0272 | Approve | Normal
MFHRO0273 | Approve | Normal
MFHRO0274 | Approve | Normal
MFHRO0275 | Approve | Normal
MFHRO0276 | Approve | Normal
MFHRO0277 | Approve | Normal
MFHRO0278 | Reject | Normal
MFHRO0279 | Approve | Normal
MFHRO0280 | Approve | Normal
MFHRO0281 | Approve | Normal
MFHRO0282 | Approve | Normal
MFHRO0283 | Approve | Normal
MFHRO0284 | Approve | Normal
MFHRO0285 | Approve | Normal
MFHRO0286 | Approve | Normal
MFHRO0287 | Approve | Normal
MFHRO0288 | Approve | Normal
MFHRO0289 | Approve | Normal
MFHRO0290 | Approve | Normal
MFHRO0291 | Approve | Normal
MFHRO0292 | Approve | Normal
MFHRO0293 | Approve | Normal
MFHRO0294 | Approve | Normal
MFHRO0295 | Approve | Normal
MFHRO0296 | Approve | Normal
MFHRO0297 | Approve | Normal
MFHRO0298 | Approve | Normal
MFHRO0299 | Approve | Normal
MFHRO0301 | Approve | Normal
MFHRO0302 | Approve | Normal
MFHRO0303 | Approve | Normal
MFHRO0304 | Approve | Normal
MFHRO0305 | Approve | Normal
MFHRO0306 | Approve | Normal
MFHRO0307 | Approve | Normal
MFHRO0308 | Approve | Normal
MFHRO0309 | Approve | Normal
MFHRO0310 | Approve | Normal
MFHRO0311 | Approve | Normal
MFHRO0312 | Approve | Normal
MFHRO0313 | Approve | Normal
MFHRO0314 | Approve | Normal
MFHRO0315 | Approve | Normal
MFHRO0316 | Approve | Normal
MFHRO0317 | Approve | Normal
MFHRO0318 | Approve | Normal
MFHRO0319 | Approve | Normal
MFHRO0320 | Approve | Normal
MFHRO0321 | Approve | Normal
MFHRO0322 | Approve | Normal
MFHRO0323 | Approve | Normal
MFHRO0324 | Approve | Normal
MFHRP0110 | Approve | Normal
RIABR0023 | Reject | Normal
RIABR0029 | Reject | Normal
RIABR0030 | Reject | Normal
RIABR0039 | Reject | Normal
RIABR0055 | Reject | Normal
RIABR0056 | Reject | Normal
RIABR0057 | Reject | Normal
RIABR0065 | Reject | Normal
RIABR0066 | Reject | Normal
RIABR0067 | Reject | Normal
RIABR0068 | Reject | Normal
RIABR0082 | Reject | Normal
RIABR0090 | Reject | Normal
RIABR0094 | Reject | Normal
RIABR0111 | Reject | Normal
RIABR0112 | Reject | Normal
RIABR0113 | Reject | Normal
RIABR0114 | Reject | Normal
RIABR0119 | Reject | Normal
RIABR0120 | Reject | Normal
RIABR0123 | Reject | Normal
RIABR0129 | Reject | Normal
RIABR0130 | Reject | Normal
RIABR0138 | Approve | Normal
RIABR0164 | Reject | Normal
RIABR0165 | Reject | Normal
RIABR0182 | Reject | Normal
SHFBR0001 | Approve | Normal
SHFBR0002 | Approve | Normal
SHFBR0003 | Approve | Normal
SHFBR0004 | Approve | Normal
SHFBR0005 | Reject | Normal
SHFBR0006 | Approve | Normal
SHFBR0007 | Reject | Normal
SHFBR0008 | Approve | Normal
SHFRO0002 | Approve | Normal
SHFRO0003 | Approve | Normal
SHFRO0004 | Approve | Normal
SHFRO0005 | Reject | Normal
WAPBR0006 | Approve | Normal
